mode,family,m,n,bessel_root,cutoff_thz
TE11,TE,1,1,1.8411837813406595,0.08784923322365325
TM01,TM,0,1,2.4048255576957724,0.11474252783521004
TE21,TE,2,1,3.0542369282271404,0.14572818582659275
TE01,TE,0,1,3.8317059702075125,0.18282391732568906
TM11,TM,1,1,3.8317059702075125,0.18282391732568906
TE31,TE,3,1,4.201188941210528,0.20045322517684627
TM21,TM,2,1,5.135622301840683,0.24503826609556822
TE41,TE,4,1,5.317553126083994,0.2537188136712613
TE12,TE,1,2,5.3314427735250325,0.2543815366920744
TM02,TM,0,2,5.520078110286311,0.26338197970124394
TM31,TM,3,1,6.380161895923984,0.3044195457726489
TE22,TE,2,2,6.706133194158459,0.31997276153146137
TE02,TE,0,2,7.015586669815619,0.3347378549623198
TM12,TM,1,2,7.015586669815619,0.3347378549623198
TM41,TM,4,1,7.588342434503804,0.36206600941502
TE32,TE,3,2,8.015236598375953,0.3824346034379988
TM22,TM,2,2,8.417244140399866,0.4016157708341242
TE13,TE,1,3,8.536316366346286,0.4072971177228144
TM03,TM,0,3,8.653727912911013,0.4128992278662157
TE42,TE,4,2,9.282396285241614,0.4428951658170655
TM32,TM,3,2,9.76102312998167,0.4657321046043786
TE23,TE,2,3,9.969467823087596,0.4756777203785746
TE03,TE,0,3,10.173468135062722,0.485411279388828
TM13,TM,1,3,10.173468135062722,0.485411279388828
TM42,TM,4,2,11.064709488501185,0.5279354805632319
TE33,TE,3,3,11.345924310743007,0.5413532103713239
TM23,TM,2,3,11.61984117214906,0.5544227292783553
TE14,TE,1,4,11.706004902592063,0.5585338982598654
TM04,TM,0,4,11.791534439014281,0.562614807655665
TE43,TE,4,3,12.68190844263889,0.6050976245767118
TM33,TM,3,3,13.015200721698434,0.6210001495997298
TE24,TE,2,4,13.170370856016124,0.6284038522920784
TE04,TE,0,4,13.323691936314223,0.6357193302349714
TM14,TM,1,4,13.323691936314223,0.6357193302349714
TM43,TM,4,3,14.37253667161759,0.6857633327407802
TE34,TE,3,4,14.585848286167028,0.6959411661356749
TM24,TM,2,4,14.795951782351262,0.705965929130249
TE44,TE,4,4,15.96410703773155,0.7617026483602083
TM34,TM,3,4,16.223466160318768,0.774077567300813
TM44,TM,4,4,17.615966049804832,0.8405185433701862
